Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Year
49,Red Dead Redemption 2,PS4,Rockstar Games,Rockstar Games,9.8,13.94,5.26,6.21,0.21,2.26,26th Oct 18
50,Call of Duty: Black Ops II,X360,Activision,Treyarch,,13.86,8.27,4.32,0.07,1.2,13th Nov 12
51,Call of Duty: Black Ops II,PS3,Activision,Treyarch,,13.8,4.99,5.88,0.65,2.28,13th Nov 12
52,Call of Duty: Modern Warfare 2,X360,Activision,Infinity Ward,9.5,13.53,8.54,3.63,0.08,1.28,10th Nov 09
53,Call of Duty: WWII,PS4,Activision,Sledgehammer Games,8.0,13.4,4.67,6.21,0.4,2.12,03rd Nov 17
54,New Super Mario Bros. 2,3DS,Nintendo,Nintendo,7.5,11.33,3.95,4.07,2.59,0.72,19th Aug 12
55,Call of Duty: Modern Warfare 3,PS3,Activision,Infinity Ward,8.8,13.35,5.54,5.78,0.49,1.54,08th Nov 11
56,Super Smash Bros. Brawl,Wii,Nintendo,Project Sora,9.2,12.91,6.64,2.57,2.67,1.03,09th Mar 08
57,Grand Theft Auto III,PS2,Rockstar Games,DMA Design,9.5,13.1,6.99,4.51,0.3,1.3,23rd Oct 01
58,Minecraft,X360,Microsoft Studios,Mojang,,9.82,5.96,2.94,0.02,0.9,04th Jun 13
59,Animal Crossing: New Leaf,3DS,Nintendo,Nintendo EAD,8.6,10.9,2.46,3.06,4.9,0.48,09th Jun 13
60,Super Mario 3D Land,3DS,Nintendo,Nintendo EAD Tokyo,8.9,11.56,5.1,3.46,2.15,0.85,13th Nov 11
61,Super Mario Galaxy,Wii,Nintendo,Nintendo EAD Tokyo,9.7,11.4,6.06,3.38,1.2,0.76,12th Nov 07
62,Pokémon Heart Gold / Soul Silver Version,DS,Nintendo,Game Freak,8.6,11.78,4.34,2.72,3.96,0.76,14th Mar 10
63,Splatoon 2,NS,Nintendo,Nintendo EPD,8.2,7.04,1.9,1.8,3.01,0.34,21st Jul 17
64,Call of Duty: Black Ops,PS3,Activision,Treyarch,8.7,12.67,6.01,4.4,0.48,1.78,09th Nov 10
65,Grand Theft Auto V,PC,Rockstar Games,Rockstar North,,1.33,0.48,0.76,,0.1,14th Apr 15
66,The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,,5.39,1.48,2.82,0.28,0.81,19th May 15
67,Diablo III,PC,Blizzard Entertainment,Blizzard Entertainment,9.0,5.26,2.5,2.23,,0.53,15th May 12
68,Half-Life 2,PC,VU Games,Valve Software,9.7,2.37,2.28,0.02,0.08,,16th Nov 04
69,Pokémon FireRed / LeafGreen Version,GBA,Nintendo,Game Freak,8.3,10.49,4.34,2.65,3.15,0.35,07th Sep 04
70,World of Warcraft,PC,Blizzard Entertainment,Blizzard Entertainment,9.2,6.35,0.12,6.24,,,23rd Nov 04
71,Gran Turismo 5,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,10.75,2.96,4.87,0.81,2.1,24th Nov 10
72,Super Mario 64,N64,Nintendo,Nintendo EAD,9.7,11.89,6.91,2.85,1.91,0.23,29th Sep 96
73,FIFA 18,PS4,EA Sports,EA Vancouver,8.3,11.8,1.27,8.64,0.15,1.73,29th Sep 17
74,The Last of Us Remastered,PS4,Sony Computer Entertainment,Naughty Dog,9.5,6.77,2.7,2.86,0.11,1.1,29th Jul 14
75,Gran Turismo 4,PS2,Sony Computer Entertainment,Polyphony Digital,8.7,11.66,3.01,0.01,1.1,7.53,22nd Feb 05
76,Animal Crossing: Wild World,DS,Nintendo,Nintendo EAD,8.5,12.14,2.5,3.46,5.33,0.86,05th Dec 05
77,Super Mario Land 2: 6 Golden Coins,GB,Nintendo,Nintendo R&D1,9.0,11.18,6.16,2.04,2.69,0.29,02nd Nov 92
78,Grand Theft Auto IV,X360,Rockstar Games,Rockstar North,10.0,11.09,6.8,3.11,0.14,1.04,29th Apr 08
79,Super Mario 64 DS,DS,Nintendo,Nintendo EAD,8.6,1.26,0.01,0.0,1.25,,20th Nov 04
80,FIFA 17,PS4,Electronic Arts,EA Canada,8.9,10.94,1.26,7.95,0.12,1.61,27th Sep 16
81,Gran Turismo,PS,Sony Computer Entertainment,Polyphony Digital,9.5,10.95,4.02,3.87,2.54,0.52,30th Apr 98
82,Call of Duty: Modern Warfare 2,PS3,Activision,Infinity Ward,9.5,10.61,4.99,3.66,0.38,1.59,10th Nov 09
83,Grand Theft Auto IV,PS3,Rockstar Games,Rockstar North,10.0,10.57,4.79,3.73,0.44,1.62,29th Apr 08
84,Super Mario All-Stars,SNES,Nintendo,Nintendo EAD,,10.55,5.99,2.15,2.12,0.29,01st Aug 93
85,Call of Duty: Ghosts,X360,Activision,Infinity Ward,6.9,10.41,6.76,2.64,0.04,0.98,05th Nov 13
