Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Year
532,World Soccer Winning Eleven 6 International,PS2,Konami,Konami Computer Entertainment Tokyo,,2.99,0.12,1.26,1.16,0.45,11th Mar 03
533,Far Cry 3,X360,Ubisoft,Ubisoft Montreal,,2.98,1.38,1.33,0.02,0.25,04th Dec 12
534,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Nintendo,Nintendo Software Technology Corporation,7.8,2.68,1.63,0.51,0.35,0.18,14th Nov 10
535,Style Savvy,DS,Nintendo,syn Sophia,7.6,2.58,0.62,0.82,0.96,0.18,02nd Nov 09
536,Yokai Watch,3DS,Nintendo,Level 5,7.7,2.55,0.44,0.68,1.34,0.09,06th Nov 15
537,Ratchet & Clank: Going Commando,PS2,Sony Computer Entertainment,Insomniac Games,8.7,2.78,1.44,0.83,0.26,0.25,11th Nov 03
538,The Legend of Zelda: Spirit Tracks,DS,Nintendo,Nintendo EAD,8.7,3.32,1.4,0.92,0.74,0.26,07th Dec 09
539,Battlefield: Bad Company 2,PS3,Electronic Arts,EA Digital Illusions CE,8.9,2.96,1.33,1.11,0.08,0.44,02nd Mar 10
540,Hitman 2: Silent Assassin,PS2,Eidos Interactive,IO Interactive,,2.96,1.36,1.15,0.04,0.41,01st Oct 02
541,Street Fighter IV,X360,Capcom,Capcom / Dimps Corporation,9.3,2.95,1.83,0.7,0.15,0.26,17th Feb 09
542,SOCOM II: U.S. Navy SEALs,PS2,Sony Computer Entertainment,Zipper Interactive,,2.94,2.22,0.51,0.06,0.15,04th Nov 03
543,WWE SmackDown! vs. RAW 2006,PS2,THQ,Yuke's,,2.94,1.45,1.11,0.04,0.33,14th Nov 05
544,Wave Race 64,N64,Nintendo,Nintendo EAD,9.2,2.94,1.98,0.58,0.34,0.04,05th Nov 96
545,Pac-Man Collection,GBA,Namco,Mass Media,,2.94,2.07,0.77,0.05,0.05,12th Jul 01
546,Kirby Star Allies,NS,Nintendo,HAL Laboratory,8.1,1.99,0.75,0.41,0.72,0.11,16th Mar 18
547,Pokémon Ranger,DS,Nintendo,HAL Laboratory,6.6,2.15,1.28,0.03,0.73,0.12,30th Oct 06
548,Madden NFL 13,X360,EA Sports,EA Tiburon,8.0,2.93,2.53,0.16,,0.24,28th Aug 12
549,Doom (2016),PS4,Bethesda Softworks,id Software,,2.92,0.93,1.48,0.04,0.46,13th May 16
550,Mass Effect,X360,Microsoft Game Studios,BioWare Edmonton,9.2,2.91,1.83,0.79,0.03,0.27,20th Nov 07
551,FIFA 15,X360,EA Sports,EA Canada,6.9,2.91,0.8,1.9,,0.21,23rd Sep 14
552,Dragon Ball Z: Budokai 2,PS2,Atari,Dimps Corporation,,2.41,1.63,0.22,0.51,0.06,04th Dec 03
553,Final Fantasy III,SNES,Square,SquareSoft,9.1,3.42,0.86,,2.55,0.02,20th Oct 94
554,Mario Party: Island Tour,3DS,Nintendo,"Nd Cube Co., Ltd.",5.5,2.4,0.66,1.04,0.56,0.14,22nd Nov 13
555,Nioh,PS4,Sony Interactive Entertainment,Team Ninja,,1.03,0.34,0.36,0.2,0.14,07th Feb 17
556,Mortal Kombat (2011),PS3,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.5,2.9,1.98,0.54,,0.38,19th Apr 11
557,Sega Superstars Tennis,X360,Sega,Sumo Digital,6.9,2.89,1.75,0.86,,0.28,18th Mar 08
558,Cooking Mama: Cook Off,Wii,Majesco,Office Create,5.9,2.89,1.41,1.12,0.05,0.3,20th Mar 07
559,Hot Shots Golf 3,PS2,Sony Computer Entertainment,Clap Hanz,,2.89,0.99,0.32,1.38,0.2,11th Mar 02
560,Call of Duty: Finest Hour,PS2,Activision,Spark Unlimited,,2.89,1.51,1.12,0.01,0.24,16th Nov 04
561,Syphon Filter,PS,989 Studios,Eidetic,9.2,2.88,2.03,0.72,0.02,0.11,31st Jan 99
562,Middle-Earth: Shadow of Mordor,PS4,Warner Bros. Interactive Entertainment,Monolith Productions,,3.19,1.03,1.6,0.05,0.51,30th Sep 14
563,Imagine: Babyz,DS,Ubisoft,Visual Impact,3.5,2.87,1.3,1.26,,0.31,23rd Oct 07
564,Donkey Kong Country Returns 3D,3DS,Nintendo,Monster Games,8.6,2.13,0.81,0.75,0.42,0.14,24th May 13
565,Mafia III,PS4,2K Games,Hangar 13,6.9,2.87,0.72,1.67,0.04,0.44,07th Oct 16
566,Colin McRae Rally,PS,Sony Computer Entertainment,Codemasters,7.9,2.87,0.09,2.43,0.12,0.22,31st Jan 00
567,Wii Music,Wii,Nintendo,Nintendo EAD,5.6,3.25,1.35,1.12,0.46,0.32,20th Oct 08
568,The Elder Scrolls III: Morrowind,XB,Bethesda Softworks,Bethesda Softworks,8.2,2.86,2.09,0.63,0.03,0.11,06th Jun 02
569,Assassin's Creed: Brotherhood,PS3,Ubisoft,Ubisoft Montreal,9.1,2.85,1.87,0.57,0.11,0.3,16th Nov 10
570,F-Zero,SNES,Nintendo,Nintendo EAD,,2.85,1.37,0.51,0.89,0.07,13th Aug 91
571,Yoshi's Story,N64,Nintendo,Nintendo EAD,,2.85,1.29,0.53,0.98,0.05,01st Mar 98
572,Metroid Prime,GC,Nintendo,Retro Studios,9.6,2.82,1.96,0.67,0.1,0.09,17th Nov 02
573,Zumba Fitness 2,Wii,Majesco,"Pipeworks Software, Inc.",,2.83,1.52,1.05,,0.26,15th Nov 11
574,Madden NFL 10,X360,EA Sports,EA Tiburon,8.6,2.83,2.52,0.09,,0.22,14th Aug 09
575,BioShock,X360,2K Games,2K Australia / 2K Boston,9.6,2.83,1.65,0.85,0.05,0.28,21st Aug 07
576,Yoshi's Island: Super Mario Advance 3,GBA,Nintendo,Nintendo EAD,,2.91,1.75,0.45,0.62,0.09,24th Sep 02
577,WWE SmackDown! vs. Raw,PS2,THQ,Yuke's,,2.83,1.32,1.08,0.04,0.39,02nd Nov 04
578,Finding Nemo,GBA,THQ,Vicarious Visions,7.0,2.82,1.59,1.05,0.04,0.14,10th May 03
579,Medal of Honor,PS3,Electronic Arts,EA Los Angeles,7.0,2.82,1.28,1.04,0.07,0.43,12th Oct 10
580,Diablo III: Ultimate Evil Edition,PS4,Blizzard Entertainment,Blizzard Entertainment,,2.82,0.83,1.48,0.08,0.44,19th Aug 14
581,The Legend of Zelda: A Link to the Past,GBA,Nintendo,"Flagship Co., Ltd. / Nintendo EAD",9.6,2.7,1.75,0.52,0.33,0.1,03rd Dec 02
582,Gran Turismo (PSP),PSN,Sony Computer Entertainment,Polyphony Digital,7.8,2.82,0.43,0.91,0.31,1.16,01st Oct 09
583,Need for Speed: Hot Pursuit,PS3,Electronic Arts,Criterion Games,8.9,2.81,1.05,1.24,0.03,0.49,16th Nov 10
584,Imagine: Fashion Designer,DS,Ubisoft,Virtual Toys / Lexis Numerique,3.0,2.81,1.32,1.19,,0.3,23rd Oct 07
585,Killzone 3,PS3,Sony Computer Entertainment,Guerrilla Games,8.2,2.81,1.46,0.87,0.09,0.38,22nd Feb 11
586,Dragon Quest V: Tenkuu no Hanayome,SNES,Enix,ChunSoft,,2.79,,,2.78,0.01,27th Sep 92
587,Madden NFL 07,PS2,EA Sports,EA Tiburon,8.5,4.49,3.63,0.24,0.01,0.61,22nd Aug 06
588,Hot Shots Golf,PS,Sony Computer Entertainment,Camelot Software Planning,,2.79,0.29,0.2,2.13,0.18,05th May 98
589,Skylanders: Spyro's Adventure,Wii,Activision,Toys for Bob,8.0,2.79,1.35,1.15,,0.3,16th Oct 11
590,A Bug's Life,PS,Sony Computer Entertainment,Traveller's Tales,3.6,2.79,1.96,0.72,,0.11,31st Oct 98
591,WWF SmackDown! Just Bring It,PS2,THQ,Yuke's,,2.79,1.19,1.15,0.04,0.41,18th Nov 01
592,Mortal Kombat Trilogy,PS,Midway Games,Avalanche Software,,2.79,1.98,0.7,,0.11,01st Sep 96
593,NBA Street,PS2,EA Sports BIG,NuFX,,2.79,2.19,0.22,,0.38,18th Jun 01
594,Jak II,PS2,Sony Computer Entertainment,Naughty Dog,,2.78,1.68,0.74,,0.36,14th Oct 03
595,The Sims,PS2,Electronic Arts,Edge of Reality,,2.77,1.41,1.12,,0.24,12th Jan 03
596,Star Wars: The Force Unleashed,X360,LucasArts,LucasArts,7.1,2.77,1.74,0.78,,0.26,16th Sep 08
597,Saints Row: The Third,X360,THQ,Volition Inc.,8.3,2.77,1.26,1.14,0.07,0.3,15th Nov 11
598,Tekken 7,PS4,Namco Bandai Games,Namco Bandai Games,,1.7,0.6,0.72,0.12,0.26,02nd Jun 17
599,Missile Command,2600,Atari,Atari,,2.76,2.56,0.17,,0.03,01st Jan 81
600,Battlefield 3,PC,Electronic Arts,Dice,8.9,2.76,0.89,1.44,,0.43,25th Oct 11
601,Resident Evil,PS,Capcom,Capcom,8.6,5.05,2.05,1.16,1.11,0.73,30th Mar 96
602,Need for Speed: Most Wanted (2012),PS3,Electronic Arts,Criterion Games,,2.74,0.71,1.52,0.06,0.45,30th Oct 12
603,Tetris DS,DS,Nintendo,Nintendo,8.5,2.11,0.63,0.05,1.35,0.08,20th Mar 06
604,L.A. Noire,X360,Rockstar Games,Team Bondi,9.1,2.73,1.55,0.92,0.02,0.24,15th Nov 11
605,Metroid,NES,Nintendo,Nintendo R&D1,,2.73,1.33,0.31,1.04,0.05,15th Aug 87
606,Far Cry: Primal,PS4,Ubisoft,Ubisoft Montreal,7.2,2.73,0.63,1.61,0.07,0.41,23rd Feb 16
607,Overwatch,XOne,Blizzard Entertainment,Blizzard Entertainment,8.7,2.72,1.63,0.84,,0.25,24th May 16
608,Need for Speed (2015),PS4,Electronic Arts,Ghost Games,7.0,2.72,0.59,1.66,0.06,0.41,03rd Nov 15
609,Madden NFL 13,PS3,EA Sports,EA Tiburon,8.3,2.71,2.12,0.24,,0.36,28th Aug 12
610,Skate 3,X360,EA Sports,EA Black Box,8.3,2.71,1.47,0.99,,0.25,11th May 10
611,Tom Clancy's Rainbow Six: Siege,XOne,Ubisoft,Ubisoft Montreal,,2.71,1.62,0.84,,0.25,01st Dec 15
612,World Soccer Winning Eleven 7 International,PS2,Konami,Konami Computer Entertainment Tokyo,9.2,2.9,0.08,1.24,1.13,0.45,17th Feb 04
613,Madden NFL 12,X360,EA Sports,EA Tiburon,7.8,2.7,2.43,0.11,,0.16,30th Aug 11
614,Mario Party,N64,Nintendo,Hudson Soft,7.6,2.7,1.25,0.53,0.87,0.05,08th Feb 99
615,World of Warcraft: Mists of Pandaria,PC,Blizzard Entertainment,Blizzard Entertainment,,1.81,0.84,0.76,,0.2,25th Sep 12
616,Call of Duty 3,X360,Activision,Treyarch,8.0,2.7,1.49,0.92,0.02,0.27,07th Nov 06
617,LEGO Star Wars II: The Original Trilogy,PS2,LucasArts,Traveller's Tales,8.4,2.69,1.85,0.64,0.01,0.19,12th Sep 06
618,Madden NFL 11,X360,EA Sports,EA Tiburon,8.3,2.69,2.38,0.12,,0.19,10th Aug 10
619,Burnout 3: Takedown,PS2,Electronic Arts,Criterion Games,9.3,2.68,1.23,1.11,,0.34,07th Sep 04
620,Dragon Ball: Xenoverse 2,PS4,Namco Bandai Games,Dimps Corporation,7.1,1.5,0.54,0.59,0.14,0.23,25th Oct 16
621,Mortal Kombat,GEN,Arena Entertainment,Probe Entertainment Limited,,2.67,1.95,0.63,,0.09,13th Sep 93
622,Call of Duty 2: Big Red One,PS2,Activision,Treyarch,8.5,2.67,1.48,0.92,0.01,0.26,01st Nov 05
623,Medal of Honor,PS,Electronic Arts,DreamWorks Interactive,9.3,2.67,1.44,1.09,,0.14,11th Nov 99
624,Guitar Hero: World Tour,X360,Activision,Neversoft Entertainment,8.6,2.66,1.78,0.64,,0.25,26th Oct 08
625,WWE SmackDown! Shut Your Mouth,PS2,THQ,Yuke's,,2.66,1.32,1.29,0.04,,31st Oct 02
626,Final Fantasy XIII-2,PS3,Square Enix,Square Enix,,2.66,0.78,0.75,0.89,0.23,31st Jan 12
627,Medal of Honor Heroes,PSP,Electronic Arts,Team Fusion,6.7,2.66,0.86,1.11,0.01,0.67,20th Oct 06
628,Hannah Montana,DS,Buena Vista,DC Studios,6.5,2.65,1.59,0.8,,0.26,10th Oct 06
629,Need for Speed: Shift,PS3,Electronic Arts,Slightly Mad Studios,8.2,2.65,0.69,1.4,0.04,0.52,15th Sep 09
630,Tom Clancy's Splinter Cell,PS2,Ubisoft,Ubisoft,,2.65,1.15,1.11,,0.4,08th Apr 03
631,Donkey Kong Country: Tropical Freeze,NS,Nintendo,Retro Studios,9.1,1.69,0.71,0.61,0.26,0.12,04th May 18
632,Mario & Luigi: Dream Team,3DS,Nintendo,AlphaDream Corporation,8.0,2.33,0.95,0.75,0.47,0.16,11th Aug 13
633,Star Wars: Shadows of the Empire,N64,Nintendo,LucasArts,,2.65,2.0,0.5,0.12,0.03,03rd Dec 96
634,Super Mario Bros. 2 (FDS),NES,Nintendo,Nintendo EAD,,2.65,,,2.65,0.0,03rd Jun 86
635,Ace Combat 04: Shattered Skies,PS2,Namco,Namco,8.9,3.17,2.06,0.56,0.38,0.17,01st Nov 01
636,Medal of Honor,X360,Electronic Arts,EA Los Angeles,7.3,2.64,1.58,0.8,0.04,0.22,12th Oct 10
637,NBA 2K12,X360,2K Sports,Visual Concepts,9.1,2.64,2.32,0.14,0.01,0.17,04th Oct 11
638,Midnight Club: Street Racing,PS2,Rockstar Games,Angel Studios,,2.63,2.0,0.47,0.02,0.14,25th Oct 00
639,NBA 2K13,PS3,2K Sports,Visual Concepts,8.9,2.63,1.74,0.46,0.05,0.39,02nd Oct 12
640,NBA 2K19,PS4,2K Sports,Visual Concepts,,2.63,1.69,0.44,0.03,0.47,11th Sep 18
641,ESPN NFL 2K5,PS2,Sega,Visual Concepts,,2.62,2.15,0.12,,0.36,20th Jul 04
642,Madden NFL 18,PS4,EA Sports,EA Tiburon,8.2,2.62,1.73,0.42,,0.47,25th Aug 17
643,FIFA Soccer 10,X360,EA Sports,EA Canada,8.9,2.62,0.6,1.79,0.01,0.23,20th Oct 09
644,LittleBigPlanet,PSP,Sony Computer Entertainment,SCEE Cambridge,8.8,2.61,0.65,1.27,0.01,0.68,17th Nov 09
645,Kirby: Triple Deluxe,3DS,Nintendo,HAL Laboratory,7.8,2.05,0.74,0.39,0.8,0.11,02nd May 14
646,Harry Potter and the Chamber of Secrets,PS2,Electronic Arts,Eurocom Entertainment Software,,2.61,0.9,1.22,0.04,0.44,14th Nov 02
647,Mario Strikers Charged,Wii,Nintendo,Next Level Games,7.7,2.59,1.05,1.05,0.24,0.24,30th Jul 07
648,Monster Hunter 3G,3DS,Capcom,Capcom,7.6,2.82,0.46,0.32,1.96,0.08,19th Mar 13
649,NieR: Automata,PS4,Square Enix,PlatinumGames,,1.71,0.56,0.51,0.42,0.22,07th Mar 17
650,Streets of Rage,GEN,Sega,Sega,,2.6,1.86,0.55,0.11,0.08,31st Dec 90
651,Grand Theft Auto: Episodes from Liberty City,X360,Rockstar Games,Rockstar North,9.0,2.6,1.08,1.22,0.03,0.27,29th Oct 09
652,LEGO Star Wars: The Complete Saga,X360,LucasArts,Traveller's Tales,,2.59,1.53,0.83,,0.24,06th Nov 07
653,Tom Clancy's The Division,XOne,Ubisoft,Massive Entertainment,,2.59,1.54,0.82,,0.24,08th Mar 16
654,FIFA Soccer 09,PS3,Electronic Arts,EA Canada,8.6,2.59,0.49,1.63,0.04,0.43,14th Oct 08
655,NBA Live 2005,PS2,EA Sports,EA Canada,,2.59,2.03,0.21,,0.35,28th Sep 04
656,WWE SmackDown vs. RAW 2007,PS2,THQ,Yuke's,8.0,2.58,1.4,0.88,0.03,0.26,14th Nov 06
657,Skylanders Giants,Wii,Activision,Toys for Bob,,2.58,1.49,0.86,,0.23,21st Oct 12
658,Madden NFL 08,PS2,EA Sports,EA Tiburon,,2.57,2.14,0.08,,0.35,14th Aug 07
659,Clubhouse Games,DS,Nintendo,Agenda,8.3,3.45,0.59,1.8,0.73,0.34,09th Oct 06
660,NBA 2K14,X360,2K Sports,Visual Concepts,,2.57,2.11,0.19,0.0,0.27,11th Oct 13
661,Hot Shots Golf,PS,Sony Computer Entertainment,Camelot Software Planning,,2.56,0.26,0.17,2.13,,05th May 98
662,Dragon Age: Origins,X360,Electronic Arts,BioWare Edmonton,8.5,2.56,1.76,0.55,0.03,0.22,03rd Nov 09
663,FIFA 16,PS3,EA Sports,EA Canada,9.0,2.55,0.43,1.68,0.05,0.38,22nd Sep 15
664,Pokémon Stadium 2,N64,Nintendo,HAL Laboratory,7.9,2.73,1.02,0.36,1.13,0.23,28th Mar 01
665,Madden NFL 09,X360,EA Sports,EA Tiburon,8.5,2.54,2.21,0.12,,0.2,12th Aug 08
666,Crazy Taxi,PS2,Acclaim Entertainment,Hitmaker,8.2,2.52,1.13,1.12,0.06,0.22,14th May 01
667,Tomb Raider (2013),PS3,Square Enix,Crystal Dynamics,8.9,2.51,0.6,1.45,0.08,0.38,05th Mar 13
668,Midnight Club: Los Angeles,PS3,Rockstar Games,Rockstar San Diego,8.3,2.5,1.59,0.54,0.05,0.33,20th Oct 08
669,PES 2009: Pro Evolution Soccer,PS2,Konami,Konami,,2.5,0.13,0.07,0.26,2.05,11th Nov 08
670,Marvel: Ultimate Alliance,X360,Activision,Raven Software,8.3,2.5,2.29,0.02,,0.19,24th Oct 06
671,Crisis Core: Final Fantasy VII,PSP,Square Enix,Square Enix,8.1,3.19,1.35,0.6,0.8,0.44,25th Mar 08
672,Dance Central,X360,MTV Games,Harmonix Music Systems,8.4,3.18,2.15,0.76,0.01,0.26,04th Nov 10
673,Diablo,PC,Blizzard Entertainment,Blizzard Entertainment,8.7,1.59,0.01,1.58,,,30th Nov 96
674,Dragon Ball Z: Budokai 3,PS2,Atari,Dimps Corporation,,1.94,1.09,0.15,0.65,0.04,16th Nov 04
675,Dragon Quest II,NES,Enix,ChunSoft,,2.56,0.15,,2.41,0.0,01st Sep 90
676,Final Fantasy Tactics,PS,Sony Computer Entertainment,SquareSoft,8.8,2.45,0.93,0.12,1.34,0.06,28th Jan 98
677,Forza Horizon 3,XOne,Microsoft Studios,Playground Games,9.0,3.93,1.64,1.96,0.02,0.32,27th Sep 16
678,Warcraft III: The Frozen Throne,PC,Blizzard Entertainment,Blizzard Entertainment,9.2,1.54,0.58,0.87,,0.09,01st Jul 03
679,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Rockstar Games,Rockstar North,9.8,2.49,1.84,0.56,,0.09,31st Oct 03
680,NBA 2K15,PS4,2K Sports,Visual Concepts,,2.49,1.49,0.55,0.01,0.44,07th Oct 14
681,Game Party,Wii,Midway Games,JGI Entertainment,2.6,2.49,1.47,0.77,,0.24,27th Nov 07
682,Mortal Kombat: Deadly Alliance,PS2,Midway Games,Midway,8.2,2.49,1.81,0.52,,0.15,16th Nov 02
683,Dark Souls III,PS4,Namco Bandai Games,From Software,,2.42,1.0,0.63,0.44,0.34,12th Apr 16
684,Mario Party 2,N64,Nintendo,Hudson Soft,,2.5,1.28,0.14,1.08,0.01,24th Jan 00
685,Saints Row: The Third,PS3,THQ,Volition Inc.,8.3,2.48,0.86,1.06,0.18,0.37,15th Nov 11
686,Tomb Raider: The Last Revelation,PS,Eidos Interactive,Core Design Ltd.,,2.48,1.15,1.14,0.06,0.13,22nd Nov 99
687,Assassin's Creed Origins,XOne,Ubisoft,Ubisoft Montreal,,2.47,1.34,0.92,,0.22,27th Oct 17
688,Pure,X360,Disney Interactive Studios,Black Rock Studio,8.3,2.47,1.38,0.84,0.0,0.25,16th Sep 08
689,Rock Band,X360,MTV Games,Harmonix Music Systems,9.1,2.47,1.93,0.33,,0.21,20th Nov 07
690,Minecraft,PSV,Sony Computer Entertainment America,4J Studios,,2.47,0.22,0.73,1.25,0.27,11th Nov 14
691,Paper Mario: Sticker Star,3DS,Nintendo,Intelligent Systems,,2.41,1.12,0.49,0.64,0.15,11th Nov 12
692,WarioWare Touched!,DS,Nintendo,Intelligent Systems,7.8,2.3,0.51,0.45,1.21,0.13,14th Feb 05
693,Resistance 2,PS3,Sony Computer Entertainment,Insomniac Games,8.5,2.47,1.15,0.84,0.1,0.38,04th Nov 08
694,Madden NFL 16,XOne,EA Sports,EA Tiburon,8.4,2.47,2.13,0.08,,0.26,25th Aug 15
695,Mario Party 4,GC,Nintendo,Hudson Soft,7.0,2.47,1.13,0.36,0.92,0.07,21st Oct 02
696,Dying Light,PS4,Warner Bros. Interactive,Techland,,2.45,1.18,0.74,0.13,0.4,27th Jan 15
697,LEGO Harry Potter: Years 1-4,Wii,Warner Bros. Interactive,Traveller's Tales,7.9,2.45,1.29,0.94,,0.22,29th Jun 10
698,uDraw Studio,Wii,THQ,"Pipeworks Software, Inc.",,2.44,1.65,0.58,,0.21,14th Nov 10
699,Madden NFL 17,XOne,EA Sports,EA Tiburon,8.1,2.44,2.14,0.04,,0.26,23rd Aug 16
700,Twisted Metal 2,PS,Sony Computer Entertainment,SingleTrac,8.7,2.44,2.12,0.25,,0.07,31st Oct 96
701,The Sims: Bustin' Out,PS2,Electronic Arts,Maxis,,2.43,1.07,1.19,,0.18,15th Dec 03
702,Need for Speed Carbon: Own the City,PSP,Electronic Arts,EA Black Box,7.4,2.42,0.87,0.97,,0.58,31st Oct 06
703,Ice Hockey,NES,Nintendo,Nintendo,,2.42,1.27,0.32,0.78,0.05,01st Mar 88
704,Sonic Adventure,DC,Sega,Sonic Team,8.9,2.42,1.26,0.61,0.46,0.08,09th Sep 99
705,Tom Clancy's Rainbow Six: Vegas 2,X360,Ubisoft,Ubisoft Montreal,8.2,2.42,1.56,0.61,0.02,0.23,18th Mar 08
706,God of War Collection,PS3,Sony Computer Entertainment,Bluepoint Games,9.2,2.6,1.7,0.45,0.06,0.4,17th Nov 09
707,Kinect: Disneyland Adventures,X360,Microsoft Studios,Frontier Developments,8.5,2.41,1.73,0.43,0.02,0.23,15th Nov 11
708,Pro Evolution Soccer 2011,PS3,Konami,Konami,6.0,2.41,0.29,1.18,0.54,0.41,05th Oct 10
709,ATV Offroad Fury,PS2,Sony Computer Entertainment,Rainbow Studios,8.4,2.41,2.07,0.26,,0.08,05th Feb 01
710,Pokémon Colosseum,GC,Nintendo,Genius Sonority Inc.,7.0,2.54,1.21,0.57,0.7,0.07,22nd Mar 04
711,NBA 2K16,XOne,2K Sports,Visual Concepts,8.3,2.41,2.01,0.15,,0.25,29th Sep 15
712,Halo: Combat Evolved Anniversary,X360,Microsoft Studios,343 Industries,8.0,2.41,1.44,0.71,0.04,0.22,15th Nov 11
713,Need for Speed: ProStreet,PS2,Electronic Arts,EA Black Box,,2.41,0.69,0.0,0.04,1.68,13th Nov 07
714,Tetris Plus,PS,Jaleco,Atlus Co.,,2.4,2.1,0.24,,0.07,18th Oct 96
715,Forza Motorsport 5,XOne,Microsoft Studios,Turn 10 Studios,,2.4,1.28,0.9,0.01,0.21,22nd Nov 13
716,Midnight Club: Los Angeles,X360,Rockstar Games,Rockstar San Diego,8.0,2.4,1.72,0.45,0.01,0.22,20th Oct 08
717,Command & Conquer: Tiberian Sun,PC,Westwood Studios,Westwood Studios,,1.55,1.55,0.0,,,24th Aug 99
718,Dino Crisis,PS,Capcom,Capcom Production Studio 4,8.9,2.41,0.81,0.76,0.7,0.14,31st Aug 99
719,Final Fantasy V,SNES,Square,SquareSoft,7.5,2.45,,,2.43,0.02,06th Dec 92
720,Monster Hunter Freedom 2,PSP,Capcom,Capcom,7.6,2.58,0.37,0.27,1.75,0.18,29th Aug 07
721,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Namco Bandai Games,CyberConnect2,,1.54,0.71,0.47,0.12,0.24,09th Feb 16
722,Pro Wrestling,NES,Nintendo,TRY Corporation,,2.4,0.77,0.18,1.42,0.03,01st Mar 87
723,Theme Hospital,PC,Electronic Arts,Bullfrog Productions,5.5,2.4,2.3,0.1,,,31st Mar 97
724,Madden NFL 11,PS3,EA Sports,EA Tiburon,8.4,2.4,2.05,0.15,,0.2,10th Aug 10
725,Batman: Arkham Origins,PS3,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,,2.4,1.08,0.88,0.04,0.4,25th Oct 13
726,Frogger's Adventures: Temple of the Frog,GBA,Konami,Konami,6.7,2.39,2.15,0.18,,0.07,24th Oct 01
727,Zumba Fitness,X360,Majesco,"Pipeworks Software, Inc.",,2.39,1.74,0.45,,0.2,18th Nov 10
728,Mario & Sonic at the London 2012 Olympic Games,Wii,Sega,Sega,6.8,3.72,1.12,1.9,0.27,0.43,15th Nov 11
729,Monopoly,PC,Hasbro Interactive,Unknown,,2.39,1.49,0.81,,0.1,01st Jan 95
730,Mortal Kombat II (US & Others sales),GEN,Acclaim Entertainment,Probe Entertainment Limited,,2.39,1.78,0.53,,0.08,01st Jan 94
731,Dead Island,X360,Deep Silver,Techland,7.0,2.38,1.48,0.7,,0.21,06th Sep 11
732,ARMS,NS,Nintendo,Nintendo EPD,7.9,1.99,0.9,0.48,0.47,0.14,16th Jun 17
733,WCW/nWo Revenge,N64,THQ,Aki Corp.,,2.38,1.94,0.39,0.03,0.02,26th Oct 98
734,Ratchet & Clank (2016),PS4,Sony Interactive Entertainment,Insomniac Games,,2.38,0.97,0.97,0.06,0.39,12th Apr 16
735,Yu-Gi-Oh! The Duelists of the Roses,PS2,Konami,Konami,,2.38,1.16,0.91,,0.3,16th Feb 03
736,Madden NFL 08,X360,EA Sports,EA Tiburon,8.7,2.37,2.18,0.01,,0.18,14th Aug 07
737,The Incredibles,PS2,THQ,Heavy Iron Studios,5.9,2.37,0.96,1.08,0.04,0.3,31st Oct 04
738,Tony Hawk's Underground 2,PS2,Activision,Neversoft Entertainment,,2.37,1.25,0.86,0.01,0.26,04th Oct 04
739,Yokai Watch Blasters: Red Cat Corps / White Dog Squad,3DS,Nintendo,Level 5,,2.44,0.07,0.05,2.3,0.01,07th Sep 18
740,Madden NFL 10,PS3,EA Sports,EA Tiburon,8.5,2.37,2.03,0.13,,0.21,14th Aug 09
741,Uncharted: The Lost Legacy,PS4,Sony Interactive Entertainment,Naughty Dog,,2.37,0.58,1.38,0.04,0.36,22nd Aug 17
742,Sonic's Ultimate Genesis Collection,PS3,Sega,Backbone Entertainment,8.1,2.36,1.39,0.64,,0.33,10th Feb 09
743,Kirby's Dream Land 2,GB,Nintendo,HAL Laboratory,,2.36,0.69,0.14,1.48,0.05,01st May 95
744,Pokémon Mystery Dungeon: Red Rescue Team,GBA,Nintendo,ChunSoft,,2.06,0.71,0.52,0.74,0.08,18th Sep 06
745,Destiny 2,XOne,Activision,Bungie,,2.35,1.66,0.47,,0.23,06th Sep 17
746,Donkey Kong Land 2,GB,Nintendo,Rare Ltd.,,2.35,1.39,0.48,0.4,0.08,01st Sep 96
747,Dragon Quest Monsters,GB,Eidos Interactive,TOSE,,2.35,,,2.34,0.01,31st Dec 99
748,Pokémon Ranger: Shadows of Almia,DS,Nintendo,HAL Laboratory,6.7,2.28,0.94,0.54,0.62,0.18,10th Nov 08
749,The Legend of Zelda: The Wind Waker,WiiU,Nintendo,Nintendo EAD,9.3,2.08,1.04,0.73,0.15,0.17,04th Oct 13
750,WarioWare: Smooth Moves,Wii,Nintendo,Intelligent Systems,8.2,2.89,0.86,1.05,0.73,0.26,15th Jan 07
751,LEGO Indiana Jones: The Original Adventures,Wii,LucasArts,Traveller's Tales,7.8,2.35,1.51,0.62,,0.22,03rd Jun 08
752,Lego Marvel Super Heroes,X360,Warner Bros. Interactive Entertainment,Traveller's Tales,,2.34,1.26,0.87,,0.21,22nd Oct 13
