Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Date
209,"Gran Turismo 5 Prologue",PS3,"Sony Computer Entertainment","Polyphony Digital",8.3,4.200,1.280,1.830,0.570,0.520,2008-04-15
210,"Dr. Mario",GB,Nintendo,"Nintendo R&D1",0.0,5.340,2.180,0.960,2.000,0.200,1990-12-01
211,"Assassin's Creed III",X360,Ubisoft,"Ubisoft Montreal",0.0,5.310,3.130,1.710,0.030,0.450,2012-10-30
212,"Pokémon Pinball",GBC,Nintendo,"Jupiter Corporation",8.7,5.310,3.020,1.120,1.010,0.160,1999-07-31
213,"Assassin's Creed II",X360,Ubisoft,"Ubisoft Montreal",9.1,5.300,3.140,1.550,0.080,0.520,2009-11-17
214,"Donkey Kong 64",N64,Nintendo,"Rare Ltd.",9.3,5.270,3.330,0.790,1.090,0.060,1999-11-22
215,"Just Dance 2",Wii,Ubisoft,"Ubisoft Paris",7.3,9.450,5.800,2.860,0.010,0.770,2010-10-12
216,"Tomb Raider II",PS,"Eidos Interactive","Core Design Ltd.",7.6,5.240,2.300,2.460,0.200,0.280,1997-10-31
217,"Madden NFL 2004",PS2,"EA Sports","EA Tiburon",9.5,5.230,4.260,0.260,0.010,0.710,2003-08-12
218,"Call of Duty: Advanced Warfare",XOne,Activision,"Sledgehammer Games",8.3,5.220,3.250,1.490,0.010,0.480,2014-11-04
219,"Fallout: New Vegas",PC,"Bethesda Softworks","Obsidian Entertainment",8.3,1.170,0.590,0.450,0.000,0.130,2010-10-19
220,"Gran Turismo 6",PS3,"Sony Computer Entertainment America","Polyphony Digital",0.0,3.540,0.770,1.870,0.410,0.490,2013-12-06
221,"Kingdom Hearts II",PS2,"Square Enix","Square Enix",8.3,4.330,2.200,0.580,1.380,0.170,2006-03-28
222,"Nintendo Land",WiiU,Nintendo,Nintendo,7.5,4.630,2.520,1.230,0.510,0.380,2012-11-18
223,"Super Mario Land 3: Wario Land",GB,Nintendo,"Nintendo R&D1",7.9,5.190,2.490,0.980,1.570,0.150,1994-02-09
224,"Donkey Kong Country 2: Diddy's Kong Quest",SNES,Nintendo,"Rare Ltd.",9.3,5.150,2.100,0.740,2.200,0.110,1995-11-20
225,"Medal of Honor: Rising Sun",PS2,"Electronic Arts","EA Los Angeles",5.9,5.130,1.980,2.230,0.130,0.800,2003-11-11
226,"Battlefield 1",XOne,"Electronic Arts","EA DICE",9.3,5.130,3.370,1.260,0.020,0.480,2016-10-21
227,"Kirby's Dream Land",GB,Nintendo,"HAL Laboratory",0.0,5.130,2.710,0.610,1.700,0.110,1992-08-01
228,"Microsoft Flight Simulator",PC,Microsoft,Microsoft,7.0,5.120,3.220,1.690,0.000,0.200,1996-10-31
229,"Guitar Hero II",PS2,RedOctane,"Harmonix Music Systems",9.2,5.120,3.810,0.630,0.000,0.680,2006-11-07
230,"FIFA 13",X360,"EA Sports","EA Canada",0.0,5.110,1.100,3.490,0.030,0.500,2012-09-25
231,"Resident Evil 5",PS3,Capcom,Capcom,8.6,5.100,1.960,1.420,1.080,0.640,2009-03-13
232,"Fable III",X360,"Microsoft Game Studios","Lionhead Studios",7.8,5.100,3.590,1.090,0.050,0.370,2010-10-26
233,"Mario & Sonic at the Olympic Games",DS,Sega,Sega,7.0,5.100,1.630,2.460,0.440,0.570,2008-01-22
234,"Grand Theft Auto: Vice City Stories",PSP,"Rockstar Games","Rockstar Leeds",8.4,5.080,1.700,2.030,0.160,1.190,2006-10-31
235,"FIFA Soccer 11",PS3,"EA Sports","EA Canada",8.7,5.080,0.610,3.280,0.060,1.120,2010-09-28
236,"Super Mario Bros. Deluxe",GB,Nintendo,"Nintendo EAD",9.7,5.070,3.400,1.300,0.150,0.220,1999-04-30
237,"Final Fantasy XV",PS4,"Square Enix","Square Enix",8.1,5.070,1.810,1.530,1.050,0.680,2016-11-29
238,"Fallout 4",XOne,"Bethesda Softworks","Bethesda Game Studios",8.4,5.030,2.940,1.620,0.020,0.450,2015-11-10
239,"Tony Hawk's Pro Skater",PS,Activision,"Neversoft Entertainment",9.6,5.020,3.420,1.380,0.020,0.200,1999-08-31
240,"Warzone 2100",PS,"Eidos Interactive","Pumpkin Studios",0.0,5.010,2.790,1.890,0.000,0.330,1999-05-31
241,"Gears of War",X360,"Microsoft Game Studios","Epic Games",9.4,6.090,3.540,1.880,0.070,0.600,2006-11-07
242,"Gears of War 2",X360,"Microsoft Game Studios","Epic Games",9.4,6.750,4.150,1.910,0.060,0.640,2008-11-07
243,"Halo 5: Guardians",XOne,"Microsoft Studios","343 Industries",8.6,4.920,2.940,1.490,0.030,0.450,2015-10-27
244,"Halo: Combat Evolved",XB,Microsoft,"Bungie Studios",9.5,6.430,4.980,1.300,0.080,0.070,2001-11-14
245,"Guitar Hero III: Legends of Rock",PS2,RedOctane,"BudCat Creations",8.2,4.980,3.490,0.010,0.010,1.480,2007-10-28
246,"Uncharted: Drake's Fortune",PS3,"Sony Computer Entertainment","Naughty Dog",8.7,4.970,2.320,1.730,0.120,0.800,2007-11-16
247,"Resident Evil 2",PS,Capcom,Capcom,9.3,5.820,1.880,1.470,2.020,0.450,1998-01-21
248,"Fallout 3",X360,"Bethesda Softworks","Bethesda Game Studios",9.0,4.960,3.410,0.990,0.090,0.460,2008-10-28
249,Splatoon,WiiU,Nintendo,"Nintendo EAD",8.4,4.710,1.580,1.300,1.560,0.270,2015-05-29
250,"Madden NFL 06",PS2,"EA Sports","EA Tiburon",9.1,4.910,3.980,0.260,0.010,0.660,2005-08-08
251,"Dragon Quest VIII: Journey of the Cursed King",PS2,"Square Enix","Level 5 / Armor Project",8.6,5.210,0.650,0.750,3.610,0.200,2005-11-15
252,"Monster Hunter Freedom 3",PSP,Capcom,Capcom,0.0,4.870,0.000,0.000,4.870,0.000,2010-12-01
253,"Diddy Kong Racing",N64,Nintendo,"Rare Ltd.",8.3,4.880,2.910,0.990,0.890,0.100,1997-11-24
254,"Pokémon Mystery Dungeon: Explorers of Time / Darkness",DS,Nintendo,ChunSoft,6.4,4.940,1.830,1.190,1.540,0.370,2008-04-20
255,"Call of Duty: Black Ops IIII",XOne,Activision,Treyarch,0.0,4.850,3.270,1.120,0.000,0.460,2018-10-12
256,"Dr. Mario",NES,Nintendo,"Nintendo R&D1",0.0,4.850,2.620,0.600,1.520,0.100,1990-10-01
257,"Spyro the Dragon",PS,"Sony Computer Entertainment","Insomniac Games",8.7,5.000,3.360,1.360,0.070,0.210,1998-09-10
258,"Crash Bandicoot N. Sane Trilogy",PS4,Activision,"Vicarious Visions",0.0,4.830,1.090,2.920,0.070,0.740,2017-06-30
259,"Assassin's Creed",PS3,Ubisoft,"Ubisoft Montreal",8.2,4.830,1.910,2.010,0.090,0.820,2007-11-13
260,"Call of Duty: Infinite Warfare",XOne,Activision,"Infinity Ward",0.0,4.790,2.910,1.440,0.000,0.440,2016-11-04
261,"Crash Team Racing",PS,"Sony Computer Entertainment","Naughty Dog",9.2,4.790,2.570,1.570,0.440,0.210,1999-09-30
262,"LEGO Star Wars: The Complete Saga",DS,LucasArts,"Traveller's Tales",7.8,4.770,2.830,1.490,0.000,0.450,2007-11-06
263,"The Legend of Zelda: Phantom Hourglass",DS,Nintendo,"Nintendo EAD",9.1,5.090,1.850,1.800,0.950,0.480,2007-10-02
264,"Batman: Arkham City",X360,"Warner Bros. Interactive","Rocksteady Studios",9.5,4.750,2.990,1.280,0.040,0.440,2011-10-18
265,"Driver 2",PS,Atari,"Reflections Interactive",7.0,4.730,2.360,2.100,0.020,0.250,2000-11-13
266,"The Simpsons: Hit & Run",PS2,"VU Games","Radical Entertainment",7.7,4.700,1.730,2.190,0.000,0.790,2003-09-16
267,"The Witcher 3: Wild Hunt",XOne,"Warner Bros. Interactive Entertainment","CD Projekt Red Studio",0.0,1.740,0.970,0.610,0.010,0.150,2015-05-19
268,"World of Warcraft: Cataclysm",PC,"Blizzard Entertainment","Blizzard Entertainment",9.0,2.090,1.770,0.320,0.000,0.000,2010-12-07
269,"Tony Hawk's Pro Skater 2",PS,Activision,"Neversoft Entertainment",9.3,4.680,3.050,1.410,0.020,0.200,2000-09-20
270,"Gran Turismo",PSP,"Sony Computer Entertainment","Polyphony Digital",7.7,2.930,0.430,1.400,0.310,0.780,2009-10-01
271,"The Lord of the Rings: The Two Towers",PS2,"Electronic Arts","Stormfront Studios",8.3,4.670,1.940,1.950,0.080,0.700,2002-10-21
272,"Nintendogs + cats",3DS,Nintendo,"Nintendo EAD",7.2,4.150,1.440,1.690,0.730,0.290,2011-03-27
273,"Tomb Raider",PS,"Eidos Interactive","Core Design Ltd.",8.9,4.630,2.290,1.970,0.130,0.240,1996-11-14
274,"God of War",PS2,"Sony Computer Entertainment","SCEA Santa Monica Studio",9.3,4.450,2.710,1.290,0.020,0.430,2005-03-22
275,"The Legend of Zelda: A Link to the Past",SNES,Nintendo,"Nintendo EAD",10.0,4.610,2.420,0.910,1.150,0.130,1992-04-13
276,"Forza Motorsport 4",X360,"Microsoft Studios","Turn 10 Studio",9.1,4.600,2.080,1.980,0.060,0.490,2011-10-11
277,"Guitar Hero III: Legends of Rock",Wii,RedOctane,"Vicarious Visions",8.6,4.600,3.040,1.120,0.000,0.440,2007-10-28
278,"Mario & Luigi: Bowser's Inside Story",DS,Nintendo,"AlphaDream Corporation",9.1,3.770,2.230,0.470,0.810,0.270,2009-09-14
279,"FIFA 15",PS3,"EA Sports","EA Canada",6.9,4.560,0.590,3.250,0.040,0.680,2014-09-23
280,"Mario & Sonic at the Olympic Winter Games",Wii,Sega,Sega,6.8,4.540,1.870,1.970,0.220,0.480,2009-10-13
281,Overwatch,PS4,"Blizzard Entertainment","Blizzard Entertainment",8.8,4.540,1.840,1.800,0.170,0.730,2016-05-24
282,"Madden NFL 2005",PS2,"EA Sports","EA Tiburon",9.5,4.530,4.180,0.260,0.010,0.080,2004-08-09
283,"Guitar Hero III: Legends of Rock",X360,RedOctane,Neversoft,8.7,4.530,3.190,0.910,0.010,0.420,2007-10-28
284,"Star Wars Battlefront II (2017)",PS4,"Electronic Arts","EA DICE",0.0,4.530,1.700,1.990,0.120,0.730,2017-11-17
285,LittleBigPlanet,PS3,"Sony Computer Entertainment","Media Molecule",9.4,5.850,2.800,2.010,0.170,0.870,2008-10-28
286,"Riven: The Sequel to Myst",PC,"Red Orb","Cyan Worlds",0.0,2.430,1.520,0.820,0.000,0.100,1997-10-29
287,"Professor Layton and the Curious Village",DS,Nintendo,"Level 5",8.7,5.200,1.210,2.440,1.030,0.510,2008-02-10
288,"Spider-Man: The Movie",PS2,Activision,Treyarch,8.2,4.480,2.710,1.510,0.030,0.230,2002-04-15
289,"The Elder Scrolls IV: Oblivion",X360,"Take-Two Interactive","Bethesda Softworks",9.2,4.470,2.890,1.030,0.130,0.410,2009-07-07
290,"The Legend of Zelda: The Wind Waker",GC,Nintendo,"Nintendo EAD",9.6,4.600,2.600,0.990,0.890,0.130,2003-03-26
291,"Tony Hawk's Pro Skater 3",PS2,Activision,"Neversoft Entertainment",9.1,4.410,2.660,1.290,0.010,0.460,2001-10-28
292,"Winning Eleven: Pro Evolution Soccer 2007",PS2,Konami,"Konami Computer Entertainment Tokyo",8.8,4.390,0.100,2.390,1.050,0.860,2007-02-06
293,"Zelda II: The Adventure of Link",NES,Nintendo,"Nintendo EAD",0.0,4.380,2.190,0.500,1.610,0.080,1988-09-01
294,"Michael Jackson: The Experience",Wii,Ubisoft,"Ubisoft Montpellier",5.6,4.370,2.640,1.330,0.010,0.390,2010-11-23
295,"Tom Clancy's The Division",PS4,Ubisoft,"Massive Entertainment",0.0,4.370,1.490,2.040,0.160,0.690,2016-03-08
296,"Need for Speed: Most Wanted",PS2,"Electronic Arts","EA Canada",8.6,4.370,2.030,1.790,0.080,0.470,2005-11-15
297,"Tom Clancy's Rainbow Six: Siege",PS4,Ubisoft,"Ubisoft Montreal",0.0,4.360,1.290,2.060,0.360,0.640,2015-12-01
298,"Call of Duty: Advanced Warfare",X360,Activision,"High Moon Studios",9.1,4.340,2.810,1.130,0.000,0.410,2014-11-04
299,"Watch Dogs",PS4,Ubisoft,"Ubisoft Montreal",0.0,4.320,1.400,2.130,0.110,0.680,2014-05-27
300,"Animal Crossing: City Folk",Wii,Nintendo,"Nintendo EAD",7.1,4.650,1.840,1.130,1.320,0.360,2008-11-16
301,Asteroids,2600,Atari,Atari,0.0,4.310,4.000,0.260,0.000,0.050,1981-01-01
302,"Dragon Quest VII",PS,Enix,"Heart Beat",8.0,4.470,0.200,0.140,4.100,0.020,2001-11-01
303,"Just Dance",Wii,Ubisoft,"Ubisoft Paris",5.4,7.210,3.480,2.990,0.000,0.730,2009-11-17
304,"Monster Hunter Generations",3DS,Capcom,Capcom,8.8,3.560,0.420,0.260,2.820,0.070,2016-07-15
305,"Batman: Arkham Asylum",PS3,"Eidos Interactive","Rocksteady Studios",9.0,4.280,2.260,1.330,0.070,0.630,2009-08-25
306,"Call of Duty: Advanced Warfare",PS3,Activision,"High Moon Studios",9.1,4.270,1.590,1.810,0.200,0.670,2014-11-04
307,"God of War II",PS2,"Sony Computer Entertainment","SCEA Santa Monica Studio",9.3,4.070,2.320,0.040,0.040,1.670,2007-03-13
308,"Namco Museum",GBA,Namco,"Mass Media",0.0,4.240,3.000,1.110,0.050,0.070,2001-06-10
309,"Super Paper Mario",Wii,Nintendo,"Intelligent Systems",8.5,3.730,1.950,0.870,0.590,0.320,2007-04-09
310,"Assassin's Creed: Revelations",PS3,Ubisoft,"Ubisoft Montreal",8.8,4.230,1.410,2.030,0.100,0.690,2011-11-15
311,"Assassin's Creed: Revelations",X360,Ubisoft,"Ubisoft Montreal",7.9,4.220,2.280,1.470,0.040,0.440,2011-11-15
312,"FIFA Soccer 06",PS2,"EA Sports","EA Canada",8.4,4.210,0.780,2.550,0.040,0.840,2005-10-04
313,"Monster Hunter 4 Ultimate",3DS,Capcom,Capcom,8.8,3.960,0.720,0.490,2.630,0.120,2015-02-13
314,"Street Fighter IV",PS3,Capcom,"Capcom / Dimps Corporation",9.3,4.190,2.040,1.050,0.590,0.520,2009-02-17
315,"FIFA Soccer 12",X360,"EA Sports","EA Canada",9.2,4.180,0.850,2.790,0.020,0.520,2011-09-27
316,"Call of Duty: Ghosts",PS4,Activision,"Infinity Ward",7.5,4.170,1.790,1.640,0.050,0.690,2013-11-15
317,"Teenage Mutant Ninja Turtles",NES,"Ultra Games",Konami,5.9,4.170,3.380,0.440,0.310,0.040,1989-06-01
318,Excitebike,NES,Nintendo,"Nintendo R&D1",0.0,4.160,2.040,0.480,1.570,0.070,1985-10-18
319,"The Legend of Zelda: A Link Between Worlds",3DS,Nintendo,"Nintendo EAD",9.3,3.570,1.530,1.310,0.470,0.260,2013-11-22
320,Frogger,PS,"Hasbro Interactive","Millenium Interactive",0.0,4.160,3.790,0.270,0.000,0.110,1997-09-30
321,"Star Wars Battlefront (2015)",XOne,"Electronic Arts","EA DICE",6.9,4.150,2.490,1.260,0.020,0.380,2015-11-17
322,"FIFA 14",X360,"EA Sports","EA Canada",0.0,4.150,0.940,2.920,0.010,0.290,2013-09-24
323,"Madden NFL 2003",PS2,"EA Sports","EA Tiburon",9.4,4.140,3.360,0.210,0.010,0.560,2002-08-12
324,"Assassin's Creed: Unity",PS4,Ubisoft,"Ubisoft Montreal",0.0,4.140,1.250,2.160,0.090,0.650,2014-11-11
325,"Destiny 2",PS4,Activision,Bungie,0.0,4.140,1.920,1.440,0.100,0.690,2017-09-06
326,"Super Mario World 2: Yoshi's Island",SNES,Nintendo,"Nintendo EAD",9.0,4.120,1.650,0.610,1.760,0.090,1995-10-04
327,"Batman: Arkham Knight",PS4,"Warner Bros. Interactive","Rocksteady Studios",8.1,4.110,1.650,1.680,0.110,0.660,2015-06-23
328,"FIFA 07 Soccer",PS2,"EA Sports","Team Fusion",8.4,4.110,0.710,2.480,0.030,0.890,2006-10-03
329,"The Sims 4",PC,"Electronic Arts",Maxis,7.0,4.100,1.200,2.600,0.000,0.300,2014-09-02
330,"Monster Hunter 4",3DS,Capcom,Capcom,0.0,3.440,0.000,0.000,3.440,0.000,2013-09-14
331,"Street Fighter II Turbo",SNES,Capcom,Capcom,9.0,4.100,1.420,0.510,2.100,0.070,1993-08-01
332,"Crash Bandicoot 2: Cortex Strikes Back",PS,"Sony Computer Entertainment","Naughty Dog",8.6,7.580,3.780,2.170,1.310,0.310,1997-10-31
333,"Fallout: New Vegas",X360,"Bethesda Softworks","Obsidian Entertainment",8.2,4.080,2.670,1.030,0.040,0.340,2010-10-19
334,"Assassin's Creed Origins",PS4,Ubisoft,"Ubisoft Montreal",0.0,4.060,1.220,2.110,0.110,0.630,2017-10-27
335,"Far Cry 4",PS4,Ubisoft,"Ubisoft Montreal",8.4,4.060,1.180,2.140,0.110,0.630,2014-11-18
336,"Carnival Games",Wii,"Global Star Software","Cat Daddy Games",4.2,4.060,2.120,1.470,0.050,0.420,2007-08-28
337,"World Soccer Winning Eleven 9",PS2,Konami,"Konami Computer Entertainment Tokyo",8.9,4.060,0.120,2.260,0.900,0.770,2006-02-07
338,"Forza Motorsport 2",X360,"Microsoft Game Studios","Turn 10 Studios",9.1,4.050,2.350,1.270,0.030,0.410,2007-05-29
339,"Namco Museum Vol.3",PS,Namco,Namco,0.0,4.050,2.280,1.550,0.160,0.060,1997-01-31
340,"Tekken Tag Tournament",PS2,Namco,Namco,8.7,4.050,1.680,1.510,0.510,0.350,2000-10-25
341,"Super Mario Maker",WiiU,Nintendo,"Nintendo EAD",8.8,3.450,1.270,0.940,1.030,0.210,2015-09-11
342,Golf,NES,Nintendo,Nintendo,0.0,4.010,1.220,0.280,2.460,0.040,1985-10-18
343,"EyeToy Play",PS2,"Sony Computer Entertainment","SCEE London Studio",7.5,4.200,0.880,2.300,0.200,0.830,2003-11-04
344,"Monster Hunter: World",PS4,Capcom,Capcom,9.3,4.670,1.030,1.060,2.170,0.420,2018-01-26
345,Pitfall!,2600,Activision,Activision,0.0,4.500,4.210,0.240,0.000,0.050,1982-04-20
346,"Star Fox 64",N64,Nintendo,"Nintendo EAD",9.0,4.030,2.780,0.580,0.640,0.040,1997-07-01
347,"World of Warcraft: Wrath of the Lich King",PC,"Blizzard Entertainment","Blizzard Entertainment",9.3,1.320,0.010,0.130,0.000,1.180,2008-11-13
348,"Fallout 3",PS3,"Bethesda Softworks","Bethesda Game Studios",8.8,4.000,2.180,1.150,0.070,0.610,2008-10-28
349,"The Elder Scrolls V: Skyrim",PC,"Bethesda Softworks","Bethesda Game Studios",9.2,3.990,1.180,2.250,0.000,0.560,2011-11-11
350,"Namco Museum: 50th Anniversary",PS2,Namco,"Digital Eclipse",0.0,3.980,2.080,1.350,0.000,0.540,2005-08-30
351,"NBA 2K16",PS4,"2K Sports","Visual Concepts",8.7,3.980,2.560,0.660,0.050,0.710,2015-09-29
352,"Far Cry 5",PS4,Ubisoft,Ubisoft,7.9,3.950,1.440,1.730,0.150,0.620,2018-03-27
353,"Battlefield 4",PS4,"Electronic Arts","EA DICE",8.3,3.940,1.400,1.740,0.190,0.620,2013-11-15
354,"Assassin's Creed IV: Black Flag",PS3,Ubisoft,"Ubisoft Montreal",8.7,3.940,1.340,1.860,0.130,0.620,2013-10-29
355,"EA Sports Active",Wii,"EA Sports","EA Vancouver",8.3,3.930,2.110,1.350,0.060,0.400,2009-05-19
356,"Donkey Kong Land",GB,Nintendo,"Rare Ltd.",0.0,3.910,1.970,0.760,1.070,0.110,1995-07-26
357,"English Training: Have Fun Improving Your Skills!",DS,Nintendo,Plato,0.0,3.330,0.000,0.990,2.320,0.020,2006-10-27
358,"Dragon Quest III",NES,Enix,ChunSoft,0.0,3.870,0.100,0.000,3.770,0.000,1992-03-01
359,"Tony Hawk's Underground",PS2,Activision,"Neversoft Entertainment",8.7,3.900,2.290,1.170,0.010,0.420,2003-10-27
360,"Just Dance 2014",Wii,Ubisoft,"Ubisoft Paris",7.4,3.890,1.910,1.660,0.000,0.330,2013-10-08
361,"Professor Layton and the Diabolical Box",DS,Nintendo,"Level 5",8.5,3.950,0.900,1.760,0.920,0.370,2009-08-24
362,"Sports Champions",PS3,"Sony Computer Entertainment","SCE San Diego Studio",7.6,3.880,2.150,1.130,0.100,0.500,2010-09-17
363,"World Soccer Winning Eleven 8 International",PS2,Konami,"Konami Computer Entertainment Tokyo",9.3,3.850,0.160,1.890,1.120,0.680,2005-02-01
364,"Namco Museum Vol.1",PS,Namco,Namco,0.0,3.840,2.120,1.440,0.220,0.060,1996-07-31
365,"The Legend of Zelda: Link's Awakening",GB,Nintendo,"Nintendo EAD",0.0,3.830,2.210,0.960,0.540,0.130,1993-08-01
366,"Resident Evil VII: Biohazard",PS4,Capcom,Capcom,8.6,3.310,0.880,1.560,0.410,0.460,2017-01-24
367,"Monster Hunter Freedom Unite",PSP,Capcom,"Capcom Production Studio 1",7.7,5.500,0.470,0.570,4.130,0.340,2009-06-23
368,"Gran Turismo Sport",PS4,"Sony Interactive Entertainment","Polyphony Digital",0.0,3.770,0.630,2.350,0.240,0.540,2017-10-17
369,"LEGO Indiana Jones: The Original Adventures",X360,LucasArts,"Traveller's Tales",7.5,3.760,2.400,1.010,0.000,0.360,2008-06-03
370,"The Sims: Unleashed",PC,"Electronic Arts",Maxis,7.3,3.760,2.030,1.560,0.000,0.170,2002-09-23
371,"Tomodachi Collection",DS,Nintendo,"Nintendo SPD Group No.1",0.0,3.670,0.000,0.000,3.670,0.000,2009-06-18
372,"Ratchet & Clank: Size Matters",PSP,"Sony Computer Entertainment","High Impact Games",8.5,3.750,1.400,1.400,0.100,0.860,2007-02-13
373,"Pokémon Trading Card Game",GB,Nintendo,"Hudson Soft",8.3,3.700,1.490,0.730,1.380,0.100,2000-04-10
374,"Ratchet & Clank",PS2,"Sony Computer Entertainment","Insomniac Games",0.0,3.330,1.440,1.010,0.570,0.300,2002-11-07
375,"FIFA 17",XOne,"Electronic Arts","EA Canada",8.8,3.710,1.040,2.400,0.000,0.270,2016-09-27
376,"FIFA Soccer 2005",PS2,"EA Sports","EA Canada",8.4,3.700,0.580,2.480,0.040,0.590,2004-10-12
377,"Super Mario Maker",3DS,Nintendo,Nintendo,7.3,3.230,0.780,1.040,1.250,0.160,2016-12-02
378,"The Legend of Zelda: Skyward Sword",Wii,Nintendo,"Nintendo EAD",9.4,3.960,2.030,1.180,0.370,0.390,2011-11-20
379,"Tony Hawk's Pro Skater 4",PS2,Activision,"Neversoft Entertainment",9.6,3.670,2.130,1.180,0.010,0.350,2002-10-23
380,"Midnight Club 3: DUB Edition",PSP,"Rockstar Games","Rockstar Leeds",7.2,3.660,1.650,1.220,0.000,0.790,2005-06-27
381,MySims,DS,"Electronic Arts","EA Redwood Shores",6.7,3.660,1.580,1.600,0.080,0.400,2007-09-18
382,Banjo-Kazooie,N64,Nintendo,"Rare Ltd.",9.3,3.650,1.870,1.130,0.550,0.100,1998-05-31
383,"SOCOM: U.S. Navy SEALs",PS2,"Sony Computer Entertainment","Zipper Interactive",8.0,3.650,2.530,0.810,0.060,0.240,2002-08-27
384,"Battlefield 4",PS3,"Electronic Arts","EA DICE",8.7,3.640,1.310,1.500,0.270,0.550,2013-10-29
385,"Jak and Daxter: The Precursor Legacy",PS2,"Sony Computer Entertainment","Naughty Dog",9.0,3.640,2.080,1.090,0.150,0.330,2001-12-04
386,"Pokémon Snap",N64,Nintendo,"HAL Laboratory",7.9,3.630,2.230,0.680,0.660,0.060,1999-06-30
387,"Pro Evolution Soccer 2008",PS2,Konami,Konami,8.2,3.630,0.050,0.000,0.640,2.930,2008-03-11
388,"FIFA Soccer 10",PS3,"EA Sports","EA Canada",9.0,3.630,0.600,2.460,0.050,0.520,2009-10-20
389,"Guitar Hero: World Tour",Wii,Activision,"Vicarious Visions",8.4,3.620,2.320,0.960,0.000,0.340,2008-10-26
390,"Star Wars Battlefront",PS2,LucasArts,"Pandemic Studios",8.1,3.610,1.930,1.220,0.030,0.440,2004-09-20
391,"Doom II",PC,"GT Interactive","id Software",9.3,3.610,2.050,1.400,0.000,0.160,1994-09-30
392,"The Simpsons: Road Rage",PS2,"Electronic Arts","Radical Entertainment",6.1,3.610,2.020,1.170,0.000,0.420,2001-11-24
393,"Metal Gear Solid 3: Snake Eater",PS2,Konami,"KCEJ / Kojima Productions",9.0,4.230,1.460,0.000,0.830,1.930,2004-11-17
394,"Assassin's Creed Syndicate",PS4,Ubisoft,"Ubisoft Quebec",8.6,3.600,0.900,2.060,0.080,0.550,2015-10-23
395,"Star Wars Battlefront II",PS2,LucasArts,"Pandemic Studios",8.5,3.590,2.180,1.020,0.030,0.370,2005-11-01
396,"Assassin's Creed: Unity",XOne,Ubisoft,"Ubisoft Montreal",0.0,3.580,2.340,0.900,0.000,0.340,2014-11-11
397,"Cooking Mama 2: Dinner With Friends",DS,Majesco,"Office Create",6.9,3.580,1.600,1.490,0.100,0.390,2007-11-13
398,"WWF SmackDown!",PS,THQ,Yuke's,0.0,3.580,2.010,1.350,0.060,0.160,2000-03-01
399,"Croc: Legend of the Gobbos",PS,"Fox Interactive","Argonaut Games",7.6,3.560,1.570,1.790,0.000,0.200,1997-09-29
400,"Battlefield 4",X360,"Electronic Arts","EA DICE",8.7,3.540,2.160,1.050,0.020,0.320,2013-10-29
401,"Grand Theft Auto: Liberty City Stories",PS2,"Rockstar Games","Rockstar Leeds",8.3,3.540,1.560,1.400,0.070,0.500,2006-06-06
402,"The Getaway",PS2,"Sony Computer Entertainment","Team Soho",7.7,3.540,1.230,1.770,0.050,0.490,2003-01-19
403,"Tomb Raider III: Adventures of Lara Croft",PS,"Eidos Interactive","Core Design Ltd.",8.2,3.540,1.660,1.580,0.120,0.180,1998-11-21
404,"Batman: Arkham Asylum",X360,"Eidos Interactive","Rocksteady Studios",9.1,3.540,2.240,0.950,0.020,0.330,2009-08-25
405,"Assassin's Creed: Brotherhood",X360,Ubisoft,"Ubisoft Montreal",9.1,3.530,2.870,0.390,0.030,0.250,2010-11-16
406,"James Bond 007: Agent Under Fire",PS2,"Electronic Arts","EA Redwood Shores",0.0,3.530,1.900,1.130,0.100,0.410,2001-11-13
407,"LEGO Star Wars: The Video Game",PS2,"Eidos Interactive","Traveller's Tales",7.9,3.530,1.980,1.140,0.010,0.410,2005-04-02
408,"Resident Evil 5",X360,Capcom,Capcom,8.6,3.530,2.130,0.930,0.120,0.340,2009-03-13
409,"Rugrats in Paris: The Movie",PS,THQ,"Avalanche Software",0.0,3.520,1.960,1.330,0.000,0.230,2000-10-29
410,"NBA 2K17",PS4,"2K Sports","Visual Concepts",9.0,3.520,2.280,0.590,0.030,0.630,2016-09-16
411,"FIFA Soccer 11",X360,"EA Sports","EA Canada",8.7,3.520,0.710,2.390,0.020,0.400,2010-09-28
412,"Donkey Kong Country 3: Dixie Kong's Double Trouble!",SNES,Nintendo,"Rare Ltd.",8.8,3.510,1.170,0.500,1.750,0.080,1996-11-22
413,"Fable II",X360,"Microsoft Game Studios","Lionhead Studios",9.0,4.280,2.510,1.240,0.110,0.410,2008-10-21
414,"Kung Fu",NES,Nintendo,"Irem Software Engineering",0.0,3.500,1.640,0.380,1.420,0.060,1985-10-01
415,"Resident Evil 3: Nemesis",PS,Capcom,Capcom,9.4,3.720,1.300,0.770,1.540,0.110,1999-11-11
416,"World of Warcraft: The Burning Crusade",PC,"Blizzard Entertainment","Blizzard Entertainment",9.2,4.090,2.570,1.520,0.000,0.000,2007-01-16
417,"FIFA Soccer 2004",PS2,"EA Sports","EA Canada",8.0,3.490,0.590,2.360,0.040,0.510,2003-11-04
