Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Date
48,"Pokémon Omega Ruby/Pokémon Alpha Sapphire",3DS,Nintendo,"Game Freak",0.0,12.730,4.780,3.980,3.150,0.820,2014-11-21
49,"Red Dead Redemption 2",PS4,"Rockstar Games","Rockstar Games",9.8,13.940,5.260,6.210,0.210,2.260,2018-10-26
50,"Call of Duty: Black Ops II",X360,Activision,Treyarch,0.0,13.860,8.270,4.320,0.070,1.200,2012-11-13
51,"Call of Duty: Black Ops II",PS3,Activision,Treyarch,0.0,13.800,4.990,5.880,0.650,2.280,2012-11-13
52,"Call of Duty: Modern Warfare 2",X360,Activision,"Infinity Ward",9.5,13.530,8.540,3.630,0.080,1.280,2009-11-10
53,"Call of Duty: WWII",PS4,Activision,"Sledgehammer Games",8.0,13.400,4.670,6.210,0.400,2.120,2017-11-03
54,"New Super Mario Bros. 2",3DS,Nintendo,Nintendo,7.5,11.330,3.950,4.070,2.590,0.720,2012-08-19
55,"Call of Duty: Modern Warfare 3",PS3,Activision,"Infinity Ward",8.8,13.350,5.540,5.780,0.490,1.540,2011-11-08
56,"Super Smash Bros. Brawl",Wii,Nintendo,"Project Sora",9.2,12.910,6.640,2.570,2.670,1.030,2008-03-09
57,"Grand Theft Auto III",PS2,"Rockstar Games","DMA Design",9.5,13.100,6.990,4.510,0.300,1.300,2001-10-23
58,Minecraft,X360,"Microsoft Studios",Mojang,0.0,9.820,5.960,2.940,0.020,0.900,2013-06-04
59,"Animal Crossing: New Leaf",3DS,Nintendo,"Nintendo EAD",8.6,10.900,2.460,3.060,4.900,0.480,2013-06-09
60,"Super Mario 3D Land",3DS,Nintendo,"Nintendo EAD Tokyo",8.9,11.560,5.100,3.460,2.150,0.850,2011-11-13
61,"Super Mario Galaxy",Wii,Nintendo,"Nintendo EAD Tokyo",9.7,11.400,6.060,3.380,1.200,0.760,2007-11-12
62,"Pokémon Heart Gold / Soul Silver Version",DS,Nintendo,"Game Freak",8.6,11.780,4.340,2.720,3.960,0.760,2010-03-14
63,"Splatoon 2",NS,Nintendo,"Nintendo EPD",8.2,7.040,1.900,1.800,3.010,0.340,2017-07-21
64,"Call of Duty: Black Ops",PS3,Activision,Treyarch,8.7,12.670,6.010,4.400,0.480,1.780,2010-11-09
65,"Grand Theft Auto V",PC,"Rockstar Games","Rockstar North",0.0,1.330,0.480,0.760,0.000,0.100,2015-04-14
66,"The Witcher 3: Wild Hunt",PS4,"Warner Bros. Interactive Entertainment","CD Projekt Red Studio",0.0,5.390,1.480,2.820,0.280,0.810,2015-05-19
67,"Diablo III",PC,"Blizzard Entertainment","Blizzard Entertainment",9.0,5.260,2.500,2.230,0.000,0.530,2012-05-15
68,"Half-Life 2",PC,"VU Games","Valve Software",9.7,2.370,2.280,0.020,0.080,0.000,2004-11-16
69,"Pokémon FireRed / LeafGreen Version",GBA,Nintendo,"Game Freak",8.3,10.490,4.340,2.650,3.150,0.350,2004-09-07
70,"World of Warcraft",PC,"Blizzard Entertainment","Blizzard Entertainment",9.2,6.350,0.120,6.240,0.000,0.000,2004-11-23
71,"Gran Turismo 5",PS3,"Sony Computer Entertainment","Polyphony Digital",8.3,10.750,2.960,4.870,0.810,2.100,2010-11-24
72,"Super Mario 64",N64,Nintendo,"Nintendo EAD",9.7,11.890,6.910,2.850,1.910,0.230,1996-09-29
73,"FIFA 18",PS4,"EA Sports","EA Vancouver",8.3,11.800,1.270,8.640,0.150,1.730,2017-09-29
74,"The Last of Us Remastered",PS4,"Sony Computer Entertainment","Naughty Dog",9.5,6.770,2.700,2.860,0.110,1.100,2014-07-29
75,"Gran Turismo 4",PS2,"Sony Computer Entertainment","Polyphony Digital",8.7,11.660,3.010,0.010,1.100,7.530,2005-02-22
76,"Animal Crossing: Wild World",DS,Nintendo,"Nintendo EAD",8.5,12.140,2.500,3.460,5.330,0.860,2005-12-05
77,"Super Mario Land 2: 6 Golden Coins",GB,Nintendo,"Nintendo R&D1",9.0,11.180,6.160,2.040,2.690,0.290,1992-11-02
78,"Grand Theft Auto IV",X360,"Rockstar Games","Rockstar North",10.0,11.090,6.800,3.110,0.140,1.040,2008-04-29
79,"Super Mario 64 DS",DS,Nintendo,"Nintendo EAD",8.6,1.260,0.010,0.000,1.250,0.000,2004-11-20
80,"FIFA 17",PS4,"Electronic Arts","EA Canada",8.9,10.940,1.260,7.950,0.120,1.610,2016-09-27
81,"Gran Turismo",PS,"Sony Computer Entertainment","Polyphony Digital",9.5,10.950,4.020,3.870,2.540,0.520,1998-04-30
82,"Call of Duty: Modern Warfare 2",PS3,Activision,"Infinity Ward",9.5,10.610,4.990,3.660,0.380,1.590,2009-11-10
83,"Grand Theft Auto IV",PS3,"Rockstar Games","Rockstar North",10.0,10.570,4.790,3.730,0.440,1.620,2008-04-29
84,"Super Mario All-Stars",SNES,Nintendo,"Nintendo EAD",0.0,10.550,5.990,2.150,2.120,0.290,1993-08-01
